aX,aY,aZ,gX,gY,gZ
1.173,-0.711,-0.150,34.668,4.089,-9.888
1.170,-0.709,-0.129,66.772,22.888,-16.235
1.090,-0.626,-0.141,73.730,24.414,-9.338
0.960,-0.361,-0.043,75.745,16.052,-5.981
0.850,-0.126,0.142,74.768,-7.629,0.916
0.767,0.171,0.283,70.923,-8.972,13.733
0.745,0.526,0.338,72.815,6.836,16.357
0.793,0.603,0.318,68.115,18.616,-1.160
0.898,0.529,0.213,59.082,24.109,-29.358
0.971,0.377,0.087,48.035,24.292,-40.344
1.035,0.239,-0.040,43.518,10.132,-18.372
0.987,0.206,-0.068,38.818,-13.916,10.681
0.882,0.227,-0.036,32.043,-33.813,29.846
0.852,0.244,0.023,32.227,-27.100,24.048
0.942,0.199,0.077,38.269,-8.972,11.047
1.038,0.115,0.085,34.851,-2.075,2.808
1.064,0.084,0.079,23.010,-5.127,8.301
1.047,0.103,0.077,11.230,-8.545,18.921
0.996,0.102,0.051,7.629,-6.714,15.564
1.004,0.079,0.010,3.418,-2.930,9.399
1.024,0.062,-0.019,0.000,-1.709,6.348
1.027,0.042,-0.021,-1.404,-5.615,5.798
1.004,0.034,0.009,-3.479,-6.592,5.249
1.005,0.028,-0.008,-2.625,-2.502,0.916
1.022,0.007,-0.028,1.526,1.648,-4.456
1.029,-0.023,0.004,-0.671,-2.380,-2.747
1.008,0.003,0.007,-2.808,-2.136,0.916
0.980,0.033,0.009,-2.869,-0.244,-3.906
0.973,0.033,0.010,0.427,4.089,-9.827
1.023,-0.003,0.005,3.479,8.362,-11.780
1.049,-0.025,-0.003,1.526,3.784,-8.972
1.032,-0.009,0.017,-0.427,-8.057,1.038
0.987,0.014,0.018,-0.488,-2.747,0.244
0.991,0.018,0.011,0.671,4.517,-4.639
0.988,0.005,-0.011,3.418,7.507,-8.362
1.008,-0.018,-0.004,1.465,5.554,-7.568
1.022,-0.026,-0.020,-1.587,0.061,-2.869
1.001,-0.009,-0.019,-1.343,-3.235,2.380
0.991,0.001,0.002,1.526,-1.892,0.916
1.007,-0.016,0.016,0.671,0.610,-1.709

1.284,-0.838,-0.135,29.846,41.016,-36.133
1.284,-0.775,-0.183,41.016,55.725,-20.996
1.029,-0.471,-0.065,44.861,23.071,-12.085
0.866,-0.223,0.013,50.720,-2.808,-6.165
0.750,0.051,0.036,62.927,-4.883,-9.888
0.773,0.262,0.010,72.876,2.686,-23.254
0.937,0.384,0.107,81.299,-5.371,-25.757
0.949,0.400,0.206,81.482,-14.893,-18.982
0.926,0.392,0.244,62.561,-21.423,-3.357
0.865,0.427,0.123,55.969,-18.860,5.127
0.856,0.404,0.048,60.425,-8.850,6.592
0.905,0.351,0.022,61.768,-0.366,6.592
0.940,0.309,0.020,48.523,-3.662,13.428
0.982,0.279,0.062,40.466,-7.996,15.137
1.010,0.234,0.090,34.607,-6.897,10.864
1.024,0.204,0.088,29.358,0.732,8.972
1.042,0.163,0.054,21.057,7.263,8.118
1.047,0.131,0.012,14.465,4.395,10.376
1.028,0.110,-0.025,10.193,-0.549,13.794
0.998,0.098,-0.023,7.751,-5.249,14.465
0.976,0.095,-0.017,5.371,-3.296,9.338
0.990,0.082,-0.021,7.324,0.488,4.456
1.031,0.052,-0.035,10.864,5.310,2.441
1.046,0.037,-0.021,13.733,6.165,1.770
1.049,0.028,-0.012,10.986,4.272,3.113
1.026,0.048,-0.012,6.348,-0.977,7.141
1.002,0.066,-0.031,9.216,-0.244,5.737
0.994,0.057,-0.008,13.062,1.465,1.160
0.992,0.045,0.012,11.597,6.897,-3.784
1.013,0.043,0.002,8.118,8.362,-2.563
1.009,0.056,-0.040,7.507,3.296,0.977
0.979,0.073,-0.016,7.263,-2.686,3.357
0.964,0.087,0.006,5.188,-2.563,0.366
0.965,0.086,-0.000,4.211,0.671,-3.784
0.995,0.065,-0.007,3.723,1.709,-6.958
1.027,0.044,-0.008,2.136,0.671,-6.348
1.025,0.047,-0.013,-1.221,-5.615,-1.038
1.003,0.064,-0.002,-1.648,-6.287,-1.038
0.997,0.062,0.003,-1.465,-4.211,-3.540
1.003,0.050,0.002,-1.953,-0.854,-6.897

1.149,-0.902,-0.138,26.978,15.076,-25.269
1.186,-1.002,-0.171,63.354,45.044,-45.593
1.213,-0.976,-0.115,71.228,36.194,-45.532
0.930,-0.671,-0.060,80.261,3.113,-10.681
0.818,-0.077,-0.020,84.656,-31.189,35.706
0.807,0.345,0.098,123.718,-35.706,20.874
0.789,0.562,0.433,143.005,-21.667,7.690
0.885,0.710,0.427,121.399,-6.897,9.460
0.993,0.774,0.373,90.454,-1.892,2.747
1.055,0.647,0.274,79.041,11.475,-15.442
1.063,0.469,0.173,64.209,9.949,0.000
1.033,0.379,0.038,43.945,-9.766,20.935
0.941,0.315,0.009,29.907,-24.292,25.696
0.899,0.260,0.009,22.095,-9.583,19.897
0.929,0.226,0.027,18.311,-1.770,13.611
0.982,0.154,0.040,17.273,-0.061,6.104
0.998,0.107,0.064,14.465,-2.136,2.869
0.994,0.090,0.085,5.859,-8.789,3.113
1.009,0.080,0.092,1.648,-10.376,2.686
1.004,0.067,0.058,0.671,-10.498,1.831
1.017,0.045,0.055,0.427,-9.399,0.183
1.037,0.020,0.062,-0.793,-7.141,-0.793
1.027,0.010,0.033,-1.648,-4.028,2.625
1.014,0.024,0.025,-2.380,-7.080,3.174
0.992,0.024,0.023,-1.404,-8.667,-1.038
0.997,0.003,0.025,0.488,-5.493,-4.822
1.013,-0.009,0.012,3.723,0.305,-2.075
