aX,aY,aZ,gX,gY,gZ
1.670,1.320,-0.015,-14.832,-5.859,33.813
1.985,1.800,0.144,-47.119,-31.189,91.309
1.575,1.649,0.765,-75.745,-18.127,117.249
0.747,1.000,0.790,-132.202,15.503,113.098
0.445,0.391,0.634,-175.171,50.781,54.504
0.557,-0.306,0.407,-148.071,136.169,-51.941
1.144,-0.961,-0.286,-135.559,148.865,-63.049
1.268,-1.049,-0.357,-143.311,72.449,-34.424
0.944,-0.867,-0.114,-123.779,-43.152,7.141
0.633,-0.587,0.253,-91.675,-36.072,-3.479
0.635,-0.547,0.020,-67.261,20.386,-39.734
0.781,-0.538,-0.232,-32.410,64.087,-45.044
1.021,-0.508,-0.326,-18.738,42.358,-18.372
0.905,-0.395,-0.206,-27.893,-10.437,4.211
0.817,-0.260,-0.133,-27.100,-33.752,21.362
0.877,-0.092,-0.190,-12.878,-12.390,21.301
0.915,-0.053,-0.192,-3.723,-5.188,11.902
0.921,-0.070,-0.194,-3.601,-16.113,4.883
0.951,-0.015,-0.211,-2.686,-18.311,8.484
0.970,-0.012,-0.200,4.456,-16.724,8.362
1.002,0.008,-0.169,9.949,-13.428,6.042
1.045,-0.001,-0.130,7.202,-16.724,3.418
1.018,0.009,-0.107,4.883,-19.165,7.996
1.012,0.031,-0.073,8.911,-11.475,11.169
1.019,0.042,-0.086,10.437,-0.488,6.042
1.020,0.026,-0.127,8.179,7.263,2.075
1.019,0.030,-0.106,8.301,3.479,2.869
1.019,0.021,-0.091,12.573,10.193,8.057
1.041,0.023,-0.105,5.310,2.197,7.446
1.032,0.065,-0.161,-3.601,-14.709,2.441
0.979,0.065,-0.120,-4.089,-20.874,0.671
0.956,0.029,-0.082,5.737,-7.874,8.423
1.025,0.055,-0.107,5.493,0.793,9.338
0.992,0.061,-0.125,1.831,-5.615,4.639
0.959,0.070,-0.111,3.540,-11.658,3.784
0.969,0.066,-0.081,8.240,-7.935,2.380
0.983,0.034,-0.031,9.216,-5.127,-2.014
0.967,0.025,-0.027,6.836,5.310,-3.540
1.010,0.024,-0.098,5.798,8.972,11.108
1.016,0.073,-0.102,0.183,-6.775,11.841

1.137,1.192,0.196,-7.507,-13.672,25.269
1.438,1.378,0.394,-40.894,-22.583,26.917
1.413,1.219,0.472,-79.895,-16.113,45.715
0.677,0.892,0.474,-99.365,5.310,102.112
0.651,0.549,0.645,-95.215,27.283,99.426
0.895,-0.082,0.706,-113.953,68.115,-22.522
1.061,-0.654,0.288,-137.817,98.206,-36.011
1.234,-0.864,-0.466,-152.771,69.580,6.165
1.096,-0.761,-0.401,-140.137,-60.852,4.395
1.018,-0.742,-0.018,-98.999,-63.660,-16.663
1.110,-0.771,0.055,-72.388,-8.606,-12.085
1.121,-0.605,-0.081,-69.763,-11.902,9.827
0.985,-0.488,-0.056,-66.772,-39.673,4.395
0.905,-0.335,-0.098,-51.941,-17.151,2.441
0.983,-0.285,-0.186,-22.339,16.541,6.042
0.998,-0.269,-0.180,-18.982,-2.319,7.446
0.948,-0.160,-0.120,-23.193,-17.944,7.263
0.933,-0.110,-0.117,-10.803,-11.047,6.653
0.981,-0.102,-0.114,-4.395,-10.559,6.348
0.977,-0.044,-0.063,-6.409,-14.221,1.648
0.952,-0.019,-0.073,-7.324,-11.780,-0.366
0.956,0.019,-0.089,0.183,-3.845,-0.732
1.021,0.004,-0.056,5.432,0.854,-3.601
1.054,-0.022,-0.019,2.686,-4.089,-3.479
1.048,-0.009,0.011,0.793,-5.676,-1.038
1.036,-0.008,0.031,-0.061,-3.906,0.366
1.031,0.008,0.021,-1.953,-2.258,0.549
1.022,0.012,0.017,0.732,4.089,-3.052
1.062,-0.023,-0.023,3.540,9.705,-0.488
1.046,-0.004,-0.029,1.160,2.075,4.333
0.996,0.013,0.022,-1.343,-6.714,4.639
0.993,0.018,0.002,-2.136,2.380,2.380
0.992,0.013,-0.030,-1.343,4.822,-0.183
1.003,0.015,-0.048,-1.465,1.282,2.441
1.000,0.033,-0.047,-1.892,-0.183,1.892
0.990,0.023,-0.022,-1.282,-3.479,2.258
0.984,0.030,-0.009,-2.930,-7.935,1.648
0.982,0.024,0.009,-0.854,-2.197,-0.366
1.017,0.015,-0.013,-0.122,0.732,-1.038
1.011,0.015,-0.026,-2.197,-2.258,-0.061

1.609,1.219,-0.061,-27.161,-16.174,24.963
1.864,1.609,0.313,-9.766,-33.081,61.340
1.643,1.521,1.004,-55.908,-90.820,114.868
0.618,0.818,1.376,-145.081,-63.843,112.915
0.092,0.220,0.982,-215.515,6.226,74.707
0.156,-0.328,0.334,-267.639,121.338,-22.522
0.697,-0.716,-0.283,-244.812,138.306,-62.561
1.161,-0.960,-0.438,-176.392,91.431,-50.842
1.317,-1.048,-0.103,-126.648,-40.649,-10.925
0.996,-0.771,0.104,-140.564,-99.670,3.357
0.839,-0.474,0.098,-120.422,-84.534,6.592
0.876,-0.398,0.072,-52.979,-12.451,-12.390
0.977,-0.426,-0.057,-37.659,0.549,-13.245
0.986,-0.327,-0.076,-41.504,-22.217,1.282
0.917,-0.220,-0.013,-31.616,-39.124,12.329
0.918,-0.181,0.079,-18.982,-23.987,5.066
0.984,-0.150,0.050,-13.794,-6.836,-0.122
1.010,-0.107,0.006,-15.076,-8.972,-2.441
0.982,-0.079,-0.026,-14.099,-12.695,-4.333
1.025,-0.050,-0.039,-13.184,-7.568,-1.221
1.043,-0.027,-0.016,-8.972,-1.770,-9.766
1.065,-0.048,-0.028,-5.066,2.686,-8.606
1.072,-0.022,-0.025,-0.854,-1.221,0.610
1.069,-0.009,0.007,2.075,-3.601,3.235
1.043,-0.010,0.041,3.235,-3.113,4.517
0.995,0.010,0.052,0.916,-5.188,3.113
0.987,0.016,0.036,3.052,0.305,-0.122
1.059,0.000,0.016,7.446,1.587,0.488
1.038,-0.008,0.019,7.080,-6.287,1.099
1.011,0.014,0.065,1.038,-14.343,5.066
1.004,0.008,0.097,0.305,-8.484,2.808
1.012,-0.002,0.076,1.404,-0.916,2.625
1.019,0.026,0.032,1.038,-2.258,1.038
1.000,0.019,0.060,1.953,-6.836,-1.831
0.987,-0.001,0.083,3.296,-2.747,-2.869
0.988,0.001,0.067,1.465,0.916,-1.526
0.985,0.031,0.055,2.258,3.235,-2.808
1.004,0.011,0.047,3.418,4.944,-5.676
1.005,-0.004,0.043,1.404,0.427,-5.920
0.999,0.005,0.056,0.000,-1.221,-3.235

1.272,0.956,-0.098,-21.545,-19.226,23.682
1.284,1.611,0.130,-13.062,-40.649,107.178
1.155,1.647,0.737,-79.773,-39.856,144.287
0.876,1.209,0.954,-174.438,-60.852,141.296
0.305,0.610,0.830,-210.815,-75.684,88.501
0.227,-0.022,0.652,-183.655,73.608,-63.965
1.154,-0.892,-0.197,-159.668,181.641,-104.614
1.563,-0.998,-0.571,-166.504,144.287,-53.955
1.299,-0.776,-0.415,-154.846,-72.510,5.249
0.789,-0.517,0.137,-120.544,-128.418,-1.343
0.852,-0.561,0.285,-72.266,-44.373,-31.799
1.077,-0.601,-0.004,-32.715,63.293,-38.574
1.163,-0.453,-0.189,-31.372,26.733,-22.217
1.061,-0.353,-0.122,-32.471,-20.203,-15.381
0.985,-0.336,-0.034,-21.179,-20.569,-18.494
1.041,-0.318,-0.079,-7.202,4.089,-11.719
