aX,aY,aZ,gX,gY,gZ
1.136,-0.254,-0.939,14.771,20.996,14.160
1.077,-0.189,-1.134,7.446,66.833,45.227
0.900,-0.094,-1.185,6.287,86.243,60.303
0.705,0.154,-1.031,10.742,89.050,71.960
0.847,0.313,-0.712,21.179,59.082,52.856
0.918,0.319,-0.348,39.490,-21.973,-24.902
0.667,0.123,-0.053,8.301,-28.870,-46.692
0.797,-0.043,0.448,-28.625,1.221,9.521
1.123,0.011,0.692,-22.827,-0.122,40.710
1.079,-0.064,0.736,0.916,-34.973,-13.000
1.052,-0.132,0.680,-4.517,-41.565,-3.906
1.024,-0.069,0.493,-6.592,-26.367,3.906
0.964,-0.031,0.358,-6.714,-44.739,-5.493
0.972,0.018,0.227,2.808,-30.273,7.202
0.997,0.044,0.177,-1.282,-17.883,11.414
0.960,0.064,0.074,-0.610,-23.132,2.441
0.954,0.074,0.017,-5.188,-18.127,0.122
0.985,0.013,0.049,-7.202,-16.235,1.709
0.999,0.014,0.014,-3.784,-4.822,1.465
0.984,0.022,-0.043,-2.441,-12.756,-9.766
0.930,-0.012,-0.073,-4.211,-10.376,-9.888
0.971,0.026,-0.069,-3.845,-9.216,1.953
1.015,0.030,-0.049,-0.671,-9.277,-0.366
1.016,-0.020,-0.019,3.723,-4.089,-11.597
0.943,-0.031,-0.061,7.446,-3.967,-17.822
0.918,-0.034,-0.070,-0.793,-3.113,1.770
0.996,-0.016,-0.033,0.244,0.061,7.996
0.982,0.000,-0.037,6.348,-2.014,0.183
0.959,-0.011,-0.052,7.141,-4.700,-6.104
0.919,-0.011,-0.088,5.310,-7.812,-5.066
0.914,-0.003,-0.068,2.930,-7.324,0.916
0.988,0.019,-0.055,3.296,0.793,7.751
0.990,0.037,-0.070,5.005,-4.150,-1.221
0.987,0.031,-0.029,0.854,-5.920,-2.014
1.015,0.008,-0.019,-0.732,-2.258,-0.488
0.995,-0.009,-0.029,5.310,1.099,-8.301
0.924,-0.005,-0.045,3.967,1.770,-3.723
0.968,0.006,-0.049,1.221,2.808,5.798
1.008,0.020,-0.034,3.052,-0.122,-0.732
0.983,0.006,-0.021,3.113,0.488,-8.606

1.195,-0.120,-0.881,2.808,-22.156,-27.954
1.069,-0.185,-1.175,-30.762,20.081,3.662
0.860,-0.015,-1.362,-47.913,55.298,32.532
0.749,0.088,-1.104,-31.067,65.186,43.640
0.622,0.187,-0.797,-2.869,47.729,30.273
0.576,0.353,-0.244,14.709,20.569,6.470
0.613,0.215,0.282,29.968,-38.208,-16.724
0.926,0.085,0.838,17.090,-68.604,3.967
1.152,0.102,1.014,-26.367,-3.540,40.100
1.105,0.219,0.701,-3.235,-0.671,4.517
0.857,0.071,0.634,33.386,-36.377,-30.090
0.880,0.044,0.615,2.808,-39.795,6.409
1.035,0.125,0.559,-27.344,-2.686,42.480
1.125,0.238,0.404,-18.250,-13.733,32.166
1.009,0.176,0.239,13.855,-32.654,-10.803
0.910,0.139,0.105,5.859,-42.175,-30.518
0.853,0.052,0.104,-13.428,-19.897,-12.085
0.956,0.072,0.125,-16.785,-7.507,12.756
1.069,0.120,0.111,-6.165,-13.672,15.381
1.028,0.107,0.105,0.854,-21.423,-7.263
0.984,0.084,0.097,0.305,-19.470,-14.893
0.934,0.072,0.088,-5.249,-14.648,-2.686
0.993,0.093,0.098,-3.906,-6.348,7.141
1.023,0.107,0.097,4.211,-4.883,-0.305
0.997,0.127,0.070,7.568,-6.226,-11.536
0.967,0.099,0.068,7.080,-2.502,-12.512
0.947,0.095,0.058,7.324,-0.977,-6.897
0.952,0.086,0.063,8.545,-2.075,-2.747
0.971,0.101,0.059,5.981,0.793,-1.526
0.993,0.115,0.067,5.493,2.258,-0.610
0.976,0.116,0.035,5.554,2.258,-5.737
0.927,0.087,0.010,5.371,2.075,-3.845
0.932,0.095,0.019,3.418,0.488,2.136
0.997,0.115,0.061,0.549,1.038,6.470
1.020,0.146,0.070,0.427,2.258,1.343
0.995,0.136,0.061,3.418,2.258,-10.498
0.953,0.108,0.026,2.197,2.808,-11.597
0.944,0.079,0.036,1.160,-1.709,-7.446
0.961,0.092,0.057,1.221,-4.028,-3.601
0.974,0.103,0.057,1.221,0.427,-4.089

0.910,-0.067,-1.247,-22.156,20.386,24.536
0.705,0.020,-1.472,-59.387,60.791,54.932
0.535,0.108,-1.430,-54.138,58.105,62.073
0.676,0.271,-0.766,-18.066,15.564,36.926
0.605,0.204,-0.262,-0.366,-41.199,-14.038
0.639,0.057,0.280,-0.305,-62.561,4.456
1.355,0.163,1.013,-18.860,-38.147,36.987
1.531,0.107,1.141,-14.709,-12.512,18.738
1.136,0.008,0.817,24.597,-29.419,-34.363
0.941,0.036,0.567,33.325,-59.143,-18.677
0.979,0.139,0.454,12.756,-41.504,-1.587
1.074,0.181,0.387,-14.221,-18.616,-0.244
1.099,0.170,0.391,26.062,-48.523,-27.100
0.943,0.062,0.258,38.513,-47.668,-52.979
0.900,-0.003,0.144,21.057,-36.072,-45.715
0.932,-0.009,0.127,-2.991,-2.502,-1.221
0.990,0.041,0.075,4.211,-10.559,-1.587
0.980,0.059,0.011,8.728,-20.569,-17.151
0.980,0.031,0.040,9.277,-19.043,-27.222
0.948,-0.056,0.077,3.235,-6.104,-19.958
0.955,-0.089,0.093,4.578,1.648,-5.127
0.972,-0.083,0.070,15.991,6.470,8.545
0.982,-0.008,0.000,12.146,7.385,6.409
1.009,0.014,-0.016,5.310,5.127,1.282
0.991,-0.012,-0.004,1.892,3.601,-3.601
0.969,-0.022,0.005,5.249,0.427,-4.333
0.996,-0.023,0.002,5.493,-0.610,-3.601
0.945,-0.028,-0.030,2.563,-0.366,-4.761
0.927,-0.030,-0.037,0.854,0.244,1.038
0.920,0.002,-0.031,-5.127,2.747,14.404
0.983,0.012,0.006,-4.028,2.991,13.000
0.918,0.015,-0.006,-1.587,0.916,7.019
0.950,0.008,0.024,0.366,-7.385,6.409
0.994,0.023,0.027,3.784,-4.761,-2.136
0.952,0.005,0.017,3.723,-7.690,-5.493
0.932,0.016,-0.022,2.930,-6.897,-1.343
0.972,0.051,-0.021,-5.432,5.005,13.916
1.010,0.048,0.004,-5.188,-0.305,7.812
1.007,0.042,0.006,-2.502,-0.854,1.648
1.013,0.029,0.029,0.854,-3.357,-5.188

0.898,-0.124,-1.130,-63.232,2.563,-11.475
0.786,-0.152,-1.194,-65.857,42.419,34.180
0.526,-0.033,-1.245,-65.857,49.316,62.073
0.843,0.363,-0.713,-40.588,15.442,53.772
0.895,0.327,-0.151,9.277,-56.885,-38.818
0.690,-0.059,0.477,5.005,-92.041,-78.796
1.028,-0.141,1.015,-30.823,-17.883,17.578
1.281,0.004,1.006,-20.935,8.911,49.683
1.308,0.029,0.907,6.226,-41.687,-0.916
1.306,0.014,0.796,9.216,-40.344,-28.992
0.934,-0.137,0.533,20.264,-28.442,-35.950
0.855,-0.116,0.443,14.282,-34.180,-15.686
1.044,-0.053,0.365,23.071,-22.217,15.503
1.042,-0.037,0.205,11.292,-10.193,-8.301
0.920,-0.109,0.147,14.587,-9.583,-18.494
0.868,-0.124,0.069,23.193,-11.658,1.526
0.935,-0.067,0.032,13.000,-7.263,15.625
1.016,-0.042,0.054,0.977,1.343,11.292
1.003,-0.070,0.080,5.005,1.587,2.747
0.933,-0.065,0.026,9.399,-8.240,-10.681
0.907,-0.061,0.014,0.366,-7.874,-1.465
0.997,-0.029,0.019,-6.104,3.540,2.258
0.974,-0.055,0.013,-0.732,5.859,-10.132
0.948,-0.085,0.022,4.578,0.854,-17.029
0.998,-0.087,0.021,3.174,18.188,-17.517
0.914,-0.107,0.018,-0.061,0.244,-12.939
0.898,-0.103,0.004,-1.465,6.775,8.179
0.969,-0.083,-0.003,0.061,8.057,10.681
0.924,-0.073,-0.024,2.991,-4.517,4.883
0.944,-0.071,0.003,-2.808,-1.648,8.545
0.973,-0.059,0.018,-5.676,1.465,8.972
0.953,-0.074,0.006,-2.258,-0.366,7.385
0.931,-0.045,-0.025,1.465,-1.343,8.911
0.937,-0.022,-0.034,-3.845,1.648,15.869
0.992,-0.016,-0.008,-7.507,6.775,21.301
1.024,-0.000,0.018,-5.981,4.944,14.343
0.998,-0.048,0.022,2.075,0.183,-2.991
0.963,-0.072,0.000,3.601,0.671,1.343
0.968,-0.023,-0.020,-0.122,4.272,10.071
0.994,0.002,-0.021,-4.517,9.827,16.357

0.931,-0.193,-1.010,-15.747,7.019,-17.212
0.611,-0.151,-1.289,-46.509,59.143,47.363
0.669,0.021,-1.249,-40.771,60.791,72.021
0.914,0.132,-0.851,3.479,15.747,15.869
0.579,0.151,-0.696,29.907,-39.246,-64.087
0.338,0.057,-0.251,-12.939,-45.654,-27.222
0.672,-0.012,0.348,-38.330,-5.005,48.340
1.389,0.147,0.808,-26.428,-16.541,41.138
1.321,-0.234,1.089,-10.071,-63.171,-21.606
1.089,-0.466,1.109,-27.832,-17.578,18.250
1.185,-0.174,0.683,-21.301,4.761,50.476
1.081,-0.040,0.505,-10.010,-19.653,32.410
1.024,0.004,0.370,8.179,-42.419,11.902
1.033,0.004,0.302,-10.986,-24.658,14.954
0.979,-0.034,0.223,-14.404,-11.597,9.644
0.924,-0.025,0.101,2.258,-17.944,12.024
1.008,0.015,0.037,6.897,-19.226,8.179
1.012,0.025,0.001,-0.244,-15.259,-1.526
0.974,-0.007,-0.022,-11.902,-10.132,2.502
1.012,-0.043,0.052,-10.864,-7.568,8.545
1.051,-0.016,0.040,-6.165,-6.165,8.057
1.034,-0.017,0.018,-3.845,-6.409,-3.906
0.987,-0.048,0.023,-4.883,-4.028,-13.123
0.943,-0.066,0.003,-3.784,-4.456,-9.521
0.945,-0.072,0.005,-3.479,-2.563,-4.517
0.936,-0.078,0.024,-1.892,0.977,0.427
0.973,-0.071,0.044,3.601,1.160,1.648
0.929,-0.062,-0.008,3.296,1.038,0.732
0.950,-0.059,0.029,3.784,-3.967,3.296
0.958,-0.049,0.017,5.676,0.244,6.653
0.996,0.011,0.025,5.005,0.061,10.498
1.035,0.019,0.035,0.610,4.456,7.202
0.980,0.009,-0.007,-1.282,6.897,-0.183
0.946,-0.010,-0.018,2.441,-4.517,-6.958
0.951,-0.006,0.015,3.845,-7.629,-5.676
0.999,0.001,0.035,2.075,-5.859,-4.944
1.002,-0.018,0.044,-0.427,2.319,-8.118
0.974,-0.036,0.030,2.808,-2.869,-10.559
0.961,-0.050,0.038,2.747,-5.310,-7.324
0.982,-0.052,0.064,2.136,0.427,-2.075

1.652,0.014,1.005,-9.583,-28.748,67.932
2.011,0.116,1.068,-5.676,-1.526,-0.244
1.600,-0.050,0.904,0.488,-16.846,-60.425
0.996,-0.164,0.576,4.089,-29.419,-49.744
0.922,-0.083,0.426,4.089,-19.775,-6.409
0.967,0.058,0.264,-16.785,-5.920,27.344
1.036,0.087,0.244,-18.250,-18.982,7.263
0.942,0.041,0.198,-4.272,-27.466,-14.038
0.882,-0.005,0.125,-1.648,-28.442,-22.156
0.916,-0.012,0.113,-9.277,-19.958,-11.047
0.955,-0.048,0.096,-15.747,-9.155,-4.395
0.953,-0.055,0.042,-12.451,-4.211,-0.427
0.971,-0.041,0.030,-10.132,-11.902,-2.808
1.012,-0.041,0.047,-11.475,-9.521,-8.423
0.970,-0.072,0.033,-10.315,-2.014,-10.376
0.978,-0.100,0.054,-5.066,-5.188,-4.517
1.003,-0.080,0.050,-3.113,-3.174,-4.700
0.979,-0.083,0.035,-1.709,-5.188,-7.507
0.955,-0.074,0.050,3.479,-7.507,-10.132
0.905,-0.080,0.026,3.174,-6.165,-9.888
0.925,-0.094,0.042,2.563,-0.854,-1.465
0.964,-0.051,0.017,1.526,6.592,8.728
0.984,-0.026,0.011,0.610,2.380,8.545
1.007,-0.034,0.036,2.625,0.610,2.808
1.005,-0.026,0.021,2.686,-1.404,-0.916
0.998,-0.027,0.015,0.305,-0.122,-1.648
0.988,-0.028,0.003,-0.244,1.404,-2.197
0.975,-0.044,0.009,-2.502,-1.221,-4.272
0.965,-0.081,0.024,-2.258,-0.732,-3.357
0.974,-0.077,0.032,0.305,1.526,2.625
0.975,-0.066,0.030,2.380,2.991,3.601
0.975,-0.051,0.020,3.052,1.465,4.456
0.982,-0.040,0.013,2.930,2.686,4.822
0.988,-0.032,0.020,3.296,1.404,0.549
0.960,-0.033,0.011,1.282,1.099,-1.465
0.956,-0.044,0.022,0.793,1.953,0.183
0.968,-0.041,0.032,-0.183,3.723,1.953
0.969,-0.040,0.027,-0.061,2.136,-0.793
0.940,-0.047,0.026,0.000,0.122,0.000
0.963,-0.032,0.052,-0.427,0.854,3.845

1.115,-0.179,1.026,-53.223,-16.724,32.593
1.220,-0.175,1.109,-48.950,10.071,62.256
