aX,aY,aZ,gX,gY,gZ
2.416,0.300,0.074,12.146,-3.601,-17.639
2.674,0.084,0.397,-21.545,-17.273,5.371
2.503,0.056,0.536,-61.462,-2.686,44.006
1.987,0.163,0.317,-73.853,34.668,38.391
1.564,0.034,0.152,-51.575,81.482,8.545
1.220,-0.072,0.108,-39.246,86.914,-18.066
0.739,-0.150,0.344,-44.189,49.622,-41.077
0.323,-0.198,0.374,-26.367,34.790,-41.565
-0.002,-0.070,0.244,8.301,107.971,33.264
-0.036,0.143,0.171,18.494,134.277,54.749
-0.037,0.142,0.088,23.437,116.333,31.677
0.067,0.032,0.009,11.780,69.092,3.967
0.138,-0.006,-0.007,-15.686,4.028,8.118
0.186,0.066,-0.010,-21.484,12.512,29.358
0.352,0.154,-0.090,-14.099,26.428,31.799
0.547,0.172,-0.141,-3.479,18.982,11.475
0.738,0.165,-0.117,8.972,-2.380,-19.104
0.896,0.068,-0.169,13.428,9.155,-7.568
0.965,0.111,-0.173,3.479,15.198,16.541
0.985,0.196,-0.175,0.427,-5.371,19.714
0.973,0.225,-0.130,4.822,-11.597,10.803
0.984,0.198,-0.077,5.798,-8.850,6.104
0.999,0.198,-0.074,0.488,-6.104,4.395
1.017,0.215,-0.089,-8.972,-4.639,0.916
1.016,0.205,-0.097,-10.864,-7.751,-3.784
1.027,0.191,-0.097,-9.521,-8.972,-4.333
1.000,0.178,-0.081,-2.991,-3.723,-0.549
0.975,0.158,-0.112,0.122,4.517,1.587
1.001,0.145,-0.143,-2.625,8.606,0.183
1.006,0.152,-0.164,-7.874,-1.953,-1.709
0.991,0.173,-0.167,-5.249,-3.479,1.404
0.984,0.177,-0.150,-0.183,-0.916,4.395
0.979,0.165,-0.134,4.883,1.282,3.845
0.996,0.154,-0.120,4.700,1.831,5.310
1.015,0.164,-0.125,0.793,-2.747,6.104
0.985,0.181,-0.119,-4.211,-9.888,3.418
0.968,0.178,-0.112,0.183,-6.897,2.075
0.974,0.183,-0.088,1.953,-0.305,0.793
0.981,0.169,-0.089,1.831,2.319,-1.221
0.984,0.169,-0.091,-1.831,-0.732,-1.404

1.863,-0.046,0.297,-25.024,-12.634,-1.526
2.054,-0.112,0.352,-51.758,-8.057,-13.428
1.739,-0.190,0.308,-71.045,13.489,-27.100
1.565,-0.192,0.194,-53.284,73.853,-39.612
1.465,-0.209,0.034,8.362,144.714,-30.640
1.294,-0.195,-0.073,14.526,117.371,-7.690
0.953,-0.110,0.065,-4.944,41.992,9.277
0.536,0.035,0.251,-27.527,-17.029,19.775
0.204,0.129,0.344,-18.799,5.981,18.066
0.124,0.264,0.257,3.906,51.575,11.780
0.323,0.217,0.120,35.461,80.872,-7.874
0.403,0.072,0.004,53.650,75.500,-27.405
0.443,-0.043,-0.008,63.416,60.669,-0.916
0.550,-0.092,0.012,52.795,61.218,19.836
0.570,-0.027,0.007,33.447,45.166,29.053
0.640,0.031,-0.021,21.301,21.362,25.085
0.691,0.060,-0.063,18.250,6.958,1.953
0.806,0.004,-0.072,32.288,16.846,-4.272
0.912,-0.032,-0.077,33.020,28.809,4.272
0.961,-0.017,-0.116,7.507,18.433,5.676
1.028,-0.002,-0.161,-7.019,-5.615,10.376
0.965,0.054,-0.132,-12.329,-18.433,13.611
0.954,0.067,-0.102,-5.615,-8.118,8.240
0.974,0.036,-0.091,-3.357,1.770,3.113
0.969,0.035,-0.115,-6.348,3.967,2.991
0.966,0.070,-0.104,-11.047,-2.258,1.892
0.937,0.057,-0.096,-7.812,4.272,-5.127
0.983,0.021,-0.136,-4.333,14.526,-6.836
1.026,0.000,-0.165,-4.700,13.428,-8.240
1.021,-0.021,-0.173,-4.883,-1.953,-4.578
0.984,-0.003,-0.144,-3.052,-3.235,1.343
0.961,0.007,-0.121,0.000,-0.610,5.371
0.968,0.011,-0.113,1.221,-0.366,5.554
0.972,0.027,-0.112,0.610,-2.319,5.310
0.950,0.037,-0.116,0.610,-2.502,5.737
0.939,0.049,-0.115,-0.427,-2.991,6.531
0.922,0.075,-0.105,3.174,3.113,4.700
0.974,0.043,-0.113,2.808,8.423,-2.380
1.009,0.015,-0.148,-2.319,4.272,-5.493
1.024,0.019,-0.138,-4.700,-3.906,-6.958

1.845,0.178,0.305,-31.738,-63.843,9.277
2.001,0.109,0.513,-30.029,-16.174,-28.564
2.061,-0.150,0.505,-26.611,72.754,-39.246
2.006,-0.356,0.070,-31.921,132.507,-15.198
1.785,-0.362,-0.118,-35.828,123.474,22.644
1.410,-0.302,-0.120,-45.227,45.898,58.594
0.769,-0.107,0.034,-57.068,4.639,68.176
0.434,0.056,0.199,-62.012,-19.165,62.561
0.196,0.184,0.302,-38.147,-19.043,25.208
0.072,0.196,0.271,-11.658,1.892,-3.662
0.187,0.137,0.197,5.005,32.593,-25.330
0.339,0.066,0.158,32.166,72.510,-23.987
