aX,aY,aZ,gX,gY,gZ
0.798,-1.227,0.560,65.735,-53.650,-42.542
0.644,-1.580,0.773,114.380,-63.171,-34.973
0.623,-1.625,0.843,151.001,-45.776,-4.761
0.663,-1.493,0.820,187.134,-28.015,19.409
0.605,-0.982,0.377,215.515,-26.489,33.386
0.794,-0.186,0.020,177.795,-7.629,55.481
1.183,0.453,0.060,164.307,-21.912,32.349
0.951,0.561,0.053,158.875,-75.012,-13.611
0.914,0.552,0.236,120.605,-55.908,42.725
1.375,0.795,0.473,68.970,-15.076,49.377
1.237,0.734,0.426,59.326,-29.236,8.484
1.028,0.460,0.427,52.673,-35.889,1.099
1.028,0.421,0.358,35.217,-3.540,20.569
1.035,0.348,0.253,19.043,6.897,20.447
1.003,0.247,0.141,17.883,2.869,15.869
1.011,0.186,0.109,11.841,2.014,9.155
0.986,0.109,0.042,6.348,-2.014,2.930
0.967,-0.025,0.115,-0.549,-15.686,-6.714
0.952,-0.126,0.177,-1.587,-19.958,-8.362
0.949,-0.189,0.201,-6.104,-12.756,-4.883
0.932,-0.237,0.215,-8.118,-5.310,2.380
1.001,-0.211,0.205,-7.141,-0.610,9.399
1.033,-0.178,0.202,-5.859,-3.540,5.249
1.021,-0.204,0.234,-6.470,-0.244,1.343
0.986,-0.205,0.186,-4.639,4.395,2.380
0.991,-0.184,0.162,-7.507,7.751,6.714
1.010,-0.182,0.164,-6.775,1.099,0.122
0.984,-0.220,0.201,-4.456,-4.089,-3.479
0.972,-0.210,0.195,-0.427,-3.418,-2.869
0.980,-0.197,0.188,-1.343,1.282,0.732
0.991,-0.194,0.193,-3.296,3.601,1.587
1.003,-0.179,0.202,-1.343,0.671,-1.282
0.989,-0.168,0.191,0.000,-0.061,-2.686
0.980,-0.172,0.189,-2.014,3.662,-2.991
0.955,-0.189,0.172,-1.404,-0.244,-6.042
0.930,-0.209,0.182,-0.916,-1.343,-2.869
0.955,-0.208,0.172,0.183,-0.061,1.343
0.975,-0.185,0.163,-0.427,-0.366,2.075
0.994,-0.184,0.170,-0.122,-1.831,0.305
0.996,-0.188,0.197,-0.488,0.061,0.427

0.919,-1.165,0.303,80.994,-40.894,-33.142
0.682,-1.460,0.380,115.051,-48.157,-38.452
0.775,-1.419,0.475,135.071,-19.592,-9.277
0.771,-1.234,0.413,187.317,-30.212,-22.278
0.674,-0.777,0.231,215.759,-58.167,-25.452
0.865,-0.292,0.155,201.599,-69.458,-14.526
0.918,0.043,0.313,160.583,-54.749,-0.488
0.922,0.214,0.358,119.934,3.967,44.373
1.214,0.644,0.116,94.360,29.297,60.486
1.170,0.699,0.072,60.425,5.981,36.926
1.209,0.640,0.197,45.349,-6.042,35.461
1.341,0.635,0.234,49.988,-23.865,24.414
1.249,0.501,0.138,33.020,-19.836,3.357
1.223,0.389,0.143,18.188,-20.508,-10.376
1.085,0.244,0.068,15.381,-20.325,-13.672
1.033,0.112,0.020,5.493,-5.188,-3.052
0.994,0.030,0.018,2.075,-5.371,-1.770
0.951,-0.082,0.030,0.244,-8.911,-1.038
0.960,-0.132,0.053,0.671,-7.385,3.357
0.946,-0.170,0.029,-2.014,0.122,4.883
0.945,-0.206,0.015,-4.028,5.005,7.385
0.966,-0.204,0.015,-3.540,0.000,5.127
0.954,-0.246,0.002,-3.723,-3.296,0.427
0.971,-0.246,-0.009,-6.592,0.244,2.258
0.982,-0.247,0.034,-4.211,-4.944,-3.052
1.013,-0.232,0.042,-4.150,-1.404,-0.305
1.035,-0.204,0.055,-3.906,-1.648,-2.502
1.021,-0.204,0.062,-3.967,-0.610,-3.845
0.997,-0.229,0.082,-5.005,0.793,-5.127
0.989,-0.225,0.087,-1.526,1.587,-2.014
0.980,-0.217,0.061,0.977,3.418,-0.549
0.977,-0.216,0.056,0.244,6.165,0.366
0.970,-0.219,0.032,0.977,5.920,0.671
0.966,-0.202,0.028,0.244,7.019,4.211
0.983,-0.183,0.027,0.122,5.798,5.737
1.016,-0.180,0.026,0.183,1.526,-1.282
0.974,-0.208,0.028,1.099,-1.770,-5.615
0.962,-0.216,0.031,1.221,-0.977,-4.272
0.954,-0.215,0.006,-1.343,2.014,-0.732
