aX,aY,aZ,gX,gY,gZ
1.143,-0.899,-0.137,24.963,3.540,-22.705
1.041,-1.050,0.027,60.242,0.549,-43.579
0.983,-1.122,0.144,85.876,7.690,-42.114
1.084,-0.931,0.239,107.971,18.127,-41.382
1.009,-0.659,0.223,132.874,13.611,-59.570
0.722,-0.235,0.333,159.424,-19.104,-69.397
0.510,0.063,0.442,169.495,-41.626,-27.344
0.805,0.587,0.137,153.992,-17.761,36.682
1.116,0.804,-0.090,119.080,37.659,61.646
1.315,0.772,-0.044,75.256,30.457,19.348
1.215,0.541,-0.025,56.519,-9.399,-10.132
1.036,0.373,0.012,31.067,-17.761,-15.991
1.015,0.238,0.093,-1.282,6.165,7.141
1.040,0.114,0.102,-10.437,13.733,12.634
0.980,0.021,0.042,-19.470,7.690,5.859
0.933,-0.057,-0.006,-32.837,1.648,5.737
0.914,-0.136,-0.005,-38.086,5.859,16.785
0.989,-0.168,-0.008,-41.260,9.460,36.682
1.022,-0.170,-0.069,-39.673,8.911,20.386
1.043,-0.177,-0.077,-41.809,-0.854,9.155
1.038,-0.178,-0.024,-38.940,0.549,0.549
0.996,-0.202,-0.072,-34.851,3.967,-7.751
0.998,-0.210,-0.097,-37.048,6.226,-6.897
1.018,-0.210,-0.058,-35.583,3.723,-6.348
1.031,-0.198,-0.021,-30.701,-1.465,-5.859
1.015,-0.183,-0.017,-23.804,3.540,-9.766
0.974,-0.174,-0.066,-21.362,6.714,-11.597
0.961,-0.172,-0.063,-27.039,-0.244,-8.606
0.946,-0.158,-0.040,-25.696,-6.104,-7.263
0.949,-0.164,-0.010,-25.391,-5.493,-3.601
0.973,-0.149,-0.033,-23.499,-2.930,-0.183
0.947,-0.143,-0.043,-21.179,0.183,2.319
0.950,-0.161,-0.014,-20.386,2.014,7.812
0.986,-0.149,-0.058,-19.287,-0.793,12.817
1.003,-0.140,-0.083,-21.790,-3.357,14.465
1.010,-0.134,-0.051,-26.917,-2.197,13.611
1.005,-0.139,-0.007,-27.466,1.648,11.963
1.007,-0.146,-0.021,-24.780,6.836,12.634
1.025,-0.127,-0.062,-24.292,7.080,13.184
1.017,-0.144,-0.065,-26.367,7.874,8.301

1.163,-0.555,-0.574,25.757,-4.639,-19.043
1.204,-0.870,-0.639,31.372,6.531,-43.457
1.175,-1.069,-0.620,51.147,12.512,-46.814
1.044,-0.836,-0.620,66.162,31.006,-42.969
0.915,-0.618,-0.500,71.655,29.846,-64.880
0.677,-0.309,-0.215,79.041,0.488,-69.153
0.324,0.108,0.280,99.792,-27.283,-43.945
0.548,0.345,0.183,107.361,-32.654,18.127
1.055,0.555,0.055,65.979,23.682,64.453
1.342,0.591,0.109,43.335,15.869,20.935
1.060,0.342,0.354,41.992,-41.443,-16.602
0.857,0.261,0.344,41.565,-58.838,-7.324
0.938,0.241,0.187,30.884,-24.231,23.987
1.126,0.204,0.036,7.141,2.930,38.025
1.184,0.136,0.027,-0.244,-17.090,18.066
1.004,0.049,0.049,0.061,-32.959,0.183
0.910,0.037,0.005,-0.366,-30.273,-1.221
0.936,0.027,-0.057,-1.282,-1.892,10.681
1.006,0.009,-0.070,-4.272,-4.578,8.423
0.995,0.002,-0.068,-4.150,-17.273,4.150
1.001,0.008,-0.093,-2.930,-8.240,3.174
1.041,-0.002,-0.096,-5.127,-6.287,1.160
1.039,-0.009,-0.062,-6.592,-8.423,-1.282
1.030,-0.019,-0.049,-6.226,-2.075,-1.221
1.034,-0.031,-0.095,-6.836,0.732,0.061
1.034,-0.031,-0.096,-8.911,-0.732,0.305
1.040,-0.034,-0.084,-8.179,-0.671,-0.305
1.037,-0.041,-0.099,-8.667,0.732,-1.099
1.028,-0.052,-0.096,-9.155,-0.305,-3.113
0.997,-0.051,-0.113,-9.827,-1.526,-3.662
1.008,-0.041,-0.093,-12.268,0.549,-0.977
1.022,-0.053,-0.079,-9.155,2.991,-2.747
1.008,-0.057,-0.087,-7.874,0.793,-3.784
1.015,-0.055,-0.082,-8.118,0.977,-4.456
1.006,-0.063,-0.074,-6.836,0.488,-7.324
0.960,-0.074,-0.062,-5.188,-0.671,-5.249
0.990,-0.053,-0.063,-5.493,2.625,1.770
1.040,-0.037,-0.067,-4.944,5.005,0.671
1.028,-0.040,-0.083,-4.456,-0.122,-5.127
0.975,-0.048,-0.062,-5.005,-5.066,-6.531

1.244,-0.559,-0.476,18.738,18.494,-6.104
1.288,-0.692,-0.602,34.424,34.668,-33.997
1.162,-0.601,-0.726,43.274,40.833,-54.626
0.792,-0.381,-0.559,42.786,28.564,-70.251
0.667,-0.272,-0.323,39.612,15.137,-62.012
0.739,-0.136,0.016,41.016,8.484,-23.926
0.926,0.131,0.149,54.749,0.977,-11.475
0.933,0.249,0.121,58.228,-18.921,-17.578
0.900,0.269,0.139,51.880,-46.143,-21.118
0.833,0.233,0.195,26.978,-42.236,4.883
0.930,0.206,0.303,13.306,-16.174,25.085
0.987,0.172,0.334,14.648,-6.897,34.607
1.045,0.148,0.255,20.386,-15.686,37.964
1.104,0.148,0.118,12.085,-8.911,35.400
1.135,0.133,0.069,4.761,-5.371,25.696
1.072,0.066,0.090,3.784,-14.648,17.944
1.063,0.056,0.040,4.150,-10.986,17.029
1.073,0.041,-0.025,1.221,-2.808,13.672
1.056,0.024,-0.062,-0.671,-5.127,8.179
0.997,0.010,-0.071,-1.160,-4.456,6.226
1.005,0.007,-0.094,-1.404,-1.343,8.240
1.028,0.003,-0.119,-6.104,1.465,6.897
1.020,-0.018,-0.061,-6.958,-2.991,3.113
1.016,-0.018,-0.051,-5.493,-1.953,3.479
1.034,-0.016,-0.073,-4.883,2.686,3.784
1.029,-0.028,-0.077,-4.456,-0.183,0.977
1.001,-0.024,-0.069,-3.296,-0.488,-0.732
0.997,-0.024,-0.069,-3.052,1.465,0.610
1.005,-0.018,-0.100,-2.930,1.831,-0.305
1.008,-0.024,-0.088,-4.272,-0.549,-2.930
0.980,-0.034,-0.056,-2.930,-2.319,-6.287
0.959,-0.036,-0.047,-0.916,-0.793,-3.418
0.962,-0.026,-0.072,-0.244,1.282,-0.549
0.976,-0.026,-0.074,-1.770,2.136,0.000
0.990,-0.018,-0.058,-2.075,1.099,-0.488
0.993,-0.015,-0.051,-2.136,-0.366,-2.869
0.966,-0.031,-0.060,-2.014,-3.845,-4.272
0.983,-0.019,-0.078,-0.244,-2.075,0.366
1.013,-0.009,-0.085,-0.244,0.305,2.625
1.024,-0.005,-0.087,-0.488,-3.357,-0.244

1.267,-1.033,-0.042,42.175,25.635,-57.983
0.865,-1.145,0.080,79.224,9.583,-100.708
0.503,-1.104,0.352,123.779,-13.855,-85.388
0.385,-0.459,0.522,141.418,-13.245,-25.269
0.671,0.108,0.382,155.701,-10.437,50.232
1.023,0.670,0.243,125.488,25.330,98.389
1.258,0.954,0.046,119.446,41.443,70.007
1.304,0.826,-0.091,103.149,6.470,24.536
1.171,0.613,0.044,57.434,-29.663,-18.860
1.012,0.399,0.175,20.996,-37.537,-14.893
1.016,0.226,0.200,7.019,-16.602,6.897
1.101,0.169,0.130,-1.221,2.869,14.404
1.082,0.109,0.082,-6.775,-0.366,7.690
1.018,0.043,0.088,-12.878,-11.719,-3.479
0.957,-0.022,0.080,-13.367,-10.925,-4.639
0.904,-0.063,-0.017,-13.367,-5.371,2.258
0.956,-0.068,-0.038,-19.653,1.404,8.728
1.030,-0.048,-0.014,-22.644,3.296,4.028
1.026,-0.073,0.010,-18.860,4.028,-2.136
1.026,-0.092,0.027,-16.113,-0.793,-2.014
1.029,-0.078,0.014,-15.808,5.676,0.427
1.017,-0.100,-0.015,-18.860,18.433,-0.671
1.019,-0.111,0.027,-33.020,9.705,7.446
1.060,-0.081,0.073,-16.479,2.441,1.892
1.049,-0.083,-0.019,-10.315,-0.366,-6.409
1.001,-0.094,-0.012,-12.085,-13.062,-14.709
0.953,-0.123,0.048,-13.367,-16.846,-16.052
0.948,-0.119,0.051,-10.864,-3.784,-10.742
0.989,-0.116,0.031,-10.925,2.075,-8.911
0.987,-0.125,0.036,-8.301,-10.132,-6.714
0.939,-0.131,0.027,-7.690,-6.165,-1.221
1.005,-0.108,0.067,-10.864,-4.578,8.240
