aX,aY,aZ,gX,gY,gZ
0.462,-1.262,0.956,-184.570,0.916,-121.338
0.462,-1.609,0.619,-176.453,-5.920,-88.074
0.570,-1.631,0.720,-173.584,-17.334,-25.635
0.641,-1.637,0.825,-115.173,-29.114,-0.427
0.728,-1.508,0.763,-64.453,-25.391,17.761
0.790,-1.185,0.542,-36.011,-17.334,26.367
0.778,-0.919,0.350,-13.916,-13.123,32.959
0.801,-0.672,0.249,-1.221,-5.005,35.034
0.782,-0.505,0.159,9.399,-0.305,28.259
0.761,-0.372,0.138,18.311,1.221,30.457
0.862,-0.223,0.145,27.283,5.859,27.039
0.962,-0.098,0.089,35.583,6.104,12.817
0.930,-0.078,0.069,36.499,5.676,4.639
0.950,-0.126,0.151,31.433,2.441,4.028
0.949,-0.133,0.194,27.893,3.296,6.592
0.975,-0.077,0.189,27.466,13.794,3.967
0.961,-0.043,0.192,37.476,12.695,0.916
0.951,-0.046,0.202,43.274,15.015,-1.587
1.002,-0.023,0.166,41.016,22.766,-14.709
0.988,-0.036,0.151,39.246,20.691,-29.541
0.911,-0.096,0.144,40.100,15.442,-29.602
0.880,-0.123,0.120,49.561,9.094,-19.043
0.860,-0.105,0.132,58.411,8.057,-18.799
0.875,-0.122,0.100,57.312,10.010,-13.916
0.912,-0.114,0.075,58.044,6.470,-7.751
0.928,-0.136,0.085,58.105,6.287,-1.404
0.940,-0.090,0.088,49.683,4.700,9.644
0.975,0.005,0.109,46.875,-7.141,11.047
1.029,0.030,0.139,57.434,-12.512,3.540
1.059,-0.022,0.080,50.659,-5.615,-0.366
1.007,-0.005,0.128,45.837,-0.732,-3.113
0.967,-0.002,0.134,41.199,-0.610,-0.427
1.024,0.044,0.074,32.227,-3.296,6.226
1.060,0.066,0.019,17.639,0.488,-1.282
0.995,-0.004,0.089,15.198,6.348,-4.883
0.931,-0.101,0.185,22.949,5.005,8.606
0.967,-0.039,0.207,39.734,-2.930,17.151
1.049,0.018,0.096,40.588,1.831,10.864
1.054,0.047,0.017,29.053,2.075,-3.601
0.950,0.009,0.017,25.391,-6.348,-11.780

1.097,1.189,0.005,-13.550,7.568,40.955
1.180,1.743,-0.158,-95.459,14.343,56.030
1.291,1.961,-0.193,-147.949,11.780,14.587
1.231,1.767,-0.081,-174.072,4.150,-55.176
0.831,0.790,0.045,-197.693,3.113,-111.328
0.722,-0.163,0.229,-235.962,10.010,-127.625
0.666,-1.023,0.592,-248.535,21.606,-111.084
0.569,-1.480,0.755,-178.894,-11.230,-86.609
0.602,-1.705,0.784,-125.183,-20.630,-52.856
0.760,-1.708,0.931,-72.876,-20.508,-25.818
0.681,-1.428,0.747,-34.485,-7.080,0.549
0.717,-0.962,0.437,-5.615,6.714,34.790
