aX,aY,aZ,gX,gY,gZ
1.352,-0.104,-0.802,7.141,31.067,5.615
1.321,-0.006,-1.232,-16.479,72.144,43.884
1.254,0.104,-1.420,-25.146,87.158,57.129
0.843,0.002,-1.128,-7.690,86.426,34.180
0.553,-0.083,-0.948,26.733,84.167,5.554
0.523,0.070,-0.530,100.647,35.217,-41.748
0.550,0.167,-0.083,133.179,-2.380,-95.459
0.516,0.049,0.385,91.003,-35.217,-95.520
0.908,-0.109,0.968,12.634,-43.823,-48.523
0.850,-0.328,1.072,-14.893,-38.879,-11.841
0.967,-0.117,0.890,-28.809,-26.672,53.772
1.430,0.089,0.890,-18.921,-44.495,44.983
1.363,-0.137,0.956,11.780,-75.867,-33.997
1.158,-0.252,0.833,12.268,-59.082,-36.011
1.134,-0.123,0.487,-18.250,-2.808,29.053
1.083,-0.020,0.247,-16.724,-8.240,21.667
1.076,-0.025,0.212,1.526,-22.827,-13.428
0.989,-0.103,0.168,12.268,-24.658,-23.315
0.970,-0.111,0.108,3.479,-6.042,4.028
0.990,-0.010,-0.008,3.052,9.338,17.700
0.917,0.002,-0.130,7.202,2.747,7.874
0.965,-0.019,-0.072,0.366,-9.094,10.986
1.079,0.021,0.077,-1.404,-12.024,8.057
1.112,0.027,0.125,3.906,-1.709,-7.935
1.014,0.005,0.052,6.348,3.967,-13.428
0.988,-0.005,0.020,-1.343,3.235,-4.700
1.007,-0.006,0.062,-2.747,1.770,-1.892
1.019,-0.020,0.040,5.371,-0.732,-10.071
0.964,-0.036,-0.016,7.996,-4.089,-12.695
0.975,-0.026,-0.008,5.493,-1.953,-10.803
0.955,-0.026,-0.030,3.479,-1.709,-8.484
0.973,-0.035,-0.021,0.122,-3.723,-2.808
0.993,-0.044,0.010,0.244,-7.690,-0.366
1.024,-0.053,0.052,1.160,-3.296,0.427
1.019,-0.051,0.042,-1.404,1.526,2.869
1.017,-0.057,0.047,-1.465,1.465,3.540
0.997,-0.038,0.026,-1.526,-2.258,3.479
0.999,-0.042,0.049,-3.296,-2.625,3.662
0.994,-0.046,0.063,-2.319,0.732,6.226
1.013,-0.018,0.030,2.258,1.831,4.395

1.450,0.079,-0.768,5.920,37.415,61.584
1.359,0.282,-0.968,15.808,50.537,78.247
1.209,0.457,-1.168,-0.671,90.210,63.232
0.958,0.503,-1.153,6.592,93.323,17.944
0.546,0.275,-0.941,41.382,69.702,-13.184
0.284,0.032,-0.366,48.401,50.049,9.155
0.500,0.180,0.020,48.523,36.560,9.155
0.645,0.123,0.347,56.946,-11.353,-51.880
0.725,-0.141,0.685,50.598,-71.594,-98.328
0.816,-0.454,0.944,18.311,-91.187,-78.979
0.989,-0.478,1.089,-30.640,-76.538,23.743
1.151,-0.318,1.016,-18.982,-69.153,42.236
1.223,-0.085,0.855,6.836,-68.115,14.404
1.217,0.067,0.713,25.146,-61.218,-30.151
1.062,0.026,0.468,12.573,-43.091,-44.922
1.048,-0.044,0.372,-8.850,-25.269,-31.433
1.109,-0.034,0.303,-10.132,-21.667,-17.273
1.097,0.036,0.215,0.305,-12.573,-12.573
1.092,0.070,0.145,3.784,-4.395,-17.822
1.033,0.049,0.101,1.709,-4.944,-22.400
0.989,-0.034,0.115,-5.127,-7.751,-19.470
0.967,-0.053,0.101,-10.986,-5.005,-9.705
0.994,-0.048,0.137,-13.245,-6.958,0.610
1.051,-0.011,0.181,-11.414,-1.953,0.122
1.066,-0.004,0.159,-2.197,-0.122,-13.550
0.975,-0.016,0.080,1.953,0.732,-17.700
0.976,-0.017,0.045,0.305,-0.305,-13.123
0.989,-0.039,0.059,-2.258,-1.892,-9.277
0.977,-0.049,0.080,-1.221,-2.808,-8.179
0.969,-0.057,0.090,2.075,-4.883,-6.287
0.965,-0.049,0.074,-0.977,-2.441,1.404
0.963,-0.047,0.093,-4.822,-3.906,6.226
0.979,-0.027,0.114,-5.920,-3.357,7.507
1.002,0.003,0.120,-4.028,-2.869,3.113
0.996,0.004,0.109,-0.916,-4.028,-7.080
0.983,-0.043,0.102,-0.061,-5.066,-10.864
1.012,-0.053,0.120,-3.113,-3.357,-4.089
1.029,-0.030,0.126,-4.333,-1.221,-0.488
1.017,-0.021,0.115,-2.197,-0.671,-2.441
1.008,-0.026,0.100,-1.831,1.526,-3.540

0.974,0.307,-0.985,-5.005,-0.305,0.305
0.852,0.365,-1.101,14.282,20.935,-5.493
0.725,0.383,-1.095,43.762,10.986,-20.447
0.595,0.212,-0.690,62.073,5.798,-15.625
0.533,0.199,-0.332,70.068,56.396,-17.700
0.644,0.129,-0.066,73.853,43.030,-91.492
0.533,-0.371,0.101,43.945,-51.941,-129.944
0.416,-0.874,0.742,-38.452,-135.559,-16.479
1.162,-0.606,1.287,-61.523,-138.672,98.999
1.561,-0.275,1.286,-12.024,-96.008,41.626
1.329,-0.256,1.002,13.611,-93.384,-24.048
1.115,-0.289,0.859,10.376,-88.257,-12.878
1.343,-0.107,0.768,-7.080,-67.688,18.555
1.336,0.007,0.693,-10.376,-27.161,-13.245
1.229,-0.055,0.531,8.118,-3.906,-48.218
1.010,-0.107,0.237,17.761,0.732,-56.213
0.978,-0.115,0.150,9.888,-2.258,-39.307
0.984,-0.131,0.142,-5.615,-2.869,-10.742
1.018,-0.136,0.176,-0.854,-2.747,-6.348
0.983,-0.114,0.131,7.019,-3.113,-8.301
0.949,-0.087,0.106,2.502,-4.211,0.488
1.001,-0.061,0.147,-10.254,-5.493,15.503
1.059,-0.062,0.185,-7.263,-4.211,11.719
1.041,-0.060,0.180,1.099,-4.822,1.526
